image,split,reason,red_pct,median_a
00004.jpg,train,"LAB relative redness (median_a=125, red=3.7%, concentration=100%)",3.69,125
00007.jpg,val,"LAB relative redness (median_a=128, red=8.9%, concentration=100%)",8.90,128
00008.jpg,train,"LAB relative redness (median_a=128, red=14.5%, concentration=100%)",14.54,128
00013.jpg,train,"LAB relative redness (median_a=129, red=10.3%, concentration=100%)",10.35,129
00017.jpg,train,"LAB relative redness (median_a=129, red=6.7%, concentration=100%)",6.71,129
00021.jpg,val,"LAB relative redness (median_a=128, red=15.1%, concentration=100%)",15.12,128
00022.jpg,train,"LAB relative redness (median_a=129, red=35.6%, concentration=100%)",35.62,129
00023.jpg,train,"LAB relative redness (median_a=130, red=36.0%, concentration=100%)",36.03,130
00028.jpg,train,"LAB relative redness (median_a=129, red=9.5%, concentration=100%)",9.48,129
00030.jpg,train,"LAB relative redness (median_a=129, red=7.5%, concentration=100%)",7.49,129
00032.jpg,train,"LAB relative redness (median_a=128, red=9.3%, concentration=100%)",9.32,128
00033.jpg,train,"LAB relative redness (median_a=128, red=9.0%, concentration=100%)",9.00,128
00034.jpg,train,"LAB relative redness (median_a=127, red=11.4%, concentration=100%)",11.37,127
00037.jpg,train,"LAB relative redness (median_a=131, red=6.6%, concentration=100%)",6.59,131
00038.jpg,val,"LAB relative redness (median_a=128, red=8.2%, concentration=100%)",8.24,128
00041.jpg,train,"LAB relative redness (median_a=128, red=14.0%, concentration=96%)",13.97,128
00043.jpg,train,"LAB relative redness (median_a=127, red=7.6%, concentration=100%)",7.59,127
00044.jpg,train,"LAB relative redness (median_a=130, red=9.2%, concentration=100%)",9.17,130
00045.jpg,train,"LAB relative redness (median_a=126, red=10.3%, concentration=100%)",10.29,126
00046.jpg,val,"LAB relative redness (median_a=127, red=6.0%, concentration=100%)",6.01,127
00047.jpg,train,"LAB relative redness (median_a=127, red=33.5%, concentration=100%)",33.51,127
00049.jpg,train,"LAB relative redness (median_a=130, red=15.3%, concentration=99%)",15.29,130
00050.jpg,val,"LAB relative redness (median_a=127, red=6.7%, concentration=100%)",6.68,127
00051.jpg,train,"LAB relative redness (median_a=128, red=6.8%, concentration=100%)",6.79,128
00052.jpg,train,"LAB relative redness (median_a=128, red=5.1%, concentration=100%)",5.12,128
00053.jpg,train,"LAB relative redness (median_a=125, red=5.9%, concentration=100%)",5.90,125
00054.jpg,train,"LAB relative redness (median_a=128, red=2.6%, concentration=100%)",2.57,128
00056.jpg,val,"LAB relative redness (median_a=128, red=5.8%, concentration=100%)",5.80,128
00057.jpg,train,"LAB relative redness (median_a=128, red=14.0%, concentration=100%)",14.00,128
00058.jpg,train,"LAB relative redness (median_a=128, red=14.1%, concentration=94%)",14.12,128
00059.jpg,train,"LAB relative redness (median_a=126, red=3.6%, concentration=100%)",3.62,126
00060.jpg,test,"LAB relative redness (median_a=128, red=8.2%, concentration=100%)",8.17,128
00061.jpg,train,"LAB relative redness (median_a=128, red=5.4%, concentration=100%)",5.41,128
00062.jpg,train,"LAB relative redness (median_a=125, red=6.9%, concentration=100%)",6.88,125
00063.jpg,train,"LAB relative redness (median_a=126, red=7.1%, concentration=100%)",7.14,126
00070.jpg,train,"LAB relative redness (median_a=127, red=9.2%, concentration=100%)",9.23,127
00071.jpg,train,"LAB relative redness (median_a=129, red=16.1%, concentration=100%)",16.06,129
00072.jpg,val,"LAB relative redness (median_a=125, red=25.9%, concentration=100%)",25.89,125
00073.jpg,train,"LAB relative redness (median_a=126, red=6.0%, concentration=100%)",6.04,126
00074.jpg,train,"LAB relative redness (median_a=128, red=5.4%, concentration=100%)",5.43,128
00076.jpg,test,"LAB relative redness (median_a=128, red=6.2%, concentration=100%)",6.16,128
00077.jpg,train,"LAB relative redness (median_a=131, red=7.6%, concentration=98%)",7.62,131
00081.jpg,test,"LAB relative redness (median_a=128, red=1.4%, concentration=98%)",1.37,128
00084.jpg,train,"LAB relative redness (median_a=128, red=8.3%, concentration=100%)",8.26,128
00085.jpg,val,"LAB relative redness (median_a=127, red=4.8%, concentration=100%)",4.75,127
00088.jpg,train,"LAB relative redness (median_a=125, red=4.9%, concentration=100%)",4.87,125
00092.jpg,train,"LAB relative redness (median_a=127, red=5.2%, concentration=100%)",5.25,127
00094.jpg,train,"LAB relative redness (median_a=126, red=8.9%, concentration=100%)",8.94,126
00099.jpg,train,"LAB relative redness (median_a=127, red=7.5%, concentration=100%)",7.48,127
00100.jpg,val,"LAB relative redness (median_a=127, red=13.0%, concentration=100%)",13.03,127
00101.jpg,train,"LAB relative redness (median_a=127, red=15.3%, concentration=100%)",15.25,127
00104.jpg,val,"LAB relative redness (median_a=126, red=5.8%, concentration=100%)",5.81,126
00105.jpg,test,"LAB relative redness (median_a=128, red=6.2%, concentration=100%)",6.15,128
00106.jpg,train,"LAB relative redness (median_a=128, red=6.2%, concentration=100%)",6.22,128
00112.jpg,train,"LAB relative redness (median_a=129, red=13.7%, concentration=100%)",13.73,129
00113.jpg,train,"LAB relative redness (median_a=127, red=10.9%, concentration=100%)",10.94,127
00114.jpg,train,"LAB relative redness (median_a=127, red=10.6%, concentration=100%)",10.56,127
00116.jpg,test,"LAB relative redness (median_a=128, red=12.6%, concentration=100%)",12.60,128
00118.jpg,val,"LAB relative redness (median_a=127, red=2.7%, concentration=100%)",2.68,127
00119.jpg,train,"LAB relative redness (median_a=128, red=7.6%, concentration=100%)",7.59,128
00122.jpg,train,"LAB relative redness (median_a=126, red=20.1%, concentration=97%)",20.09,126
00123.jpg,train,"LAB relative redness (median_a=128, red=9.0%, concentration=100%)",9.02,128
00125.jpg,test,"LAB relative redness (median_a=127, red=7.3%, concentration=100%)",7.29,127
00130.jpg,train,"LAB relative redness (median_a=125, red=1.7%, concentration=100%)",1.69,125
00131.jpg,val,"LAB relative redness (median_a=128, red=8.3%, concentration=100%)",8.26,128
00133.jpg,train,"LAB relative redness (median_a=125, red=7.4%, concentration=100%)",7.35,125
00139.jpg,train,"LAB relative redness (median_a=128, red=7.1%, concentration=100%)",7.10,128
00141.jpg,train,"LAB relative redness (median_a=128, red=8.4%, concentration=100%)",8.36,128
00142.jpg,train,"LAB relative redness (median_a=129, red=35.9%, concentration=100%)",35.94,129
00143.jpg,train,"LAB relative redness (median_a=128, red=7.8%, concentration=100%)",7.75,128
00144.jpg,train,"LAB relative redness (median_a=129, red=11.1%, concentration=100%)",11.15,129
00145.jpg,train,"LAB relative redness (median_a=127, red=7.4%, concentration=100%)",7.41,127
00146.jpg,val,"LAB relative redness (median_a=129, red=10.3%, concentration=100%)",10.30,129
00147.jpg,train,"LAB relative redness (median_a=127, red=8.2%, concentration=100%)",8.17,127
00151.jpg,train,"LAB relative redness (median_a=128, red=13.5%, concentration=100%)",13.52,128
00152.jpg,train,"LAB relative redness (median_a=128, red=7.7%, concentration=100%)",7.67,128
00153.jpg,train,"LAB relative redness (median_a=126, red=7.8%, concentration=100%)",7.78,126
00154.jpg,train,"LAB relative redness (median_a=125, red=5.4%, concentration=100%)",5.42,125
00160.jpg,test,"LAB relative redness (median_a=127, red=11.6%, concentration=100%)",11.60,127
00161.jpg,val,"LAB relative redness (median_a=129, red=10.5%, concentration=100%)",10.49,129
00162.jpg,train,"LAB relative redness (median_a=131, red=9.9%, concentration=100%)",9.92,131
00165.jpg,train,"LAB relative redness (median_a=128, red=6.1%, concentration=100%)",6.09,128
00167.jpg,train,"LAB relative redness (median_a=128, red=11.0%, concentration=100%)",10.96,128
00174.jpg,train,"LAB relative redness (median_a=130, red=15.5%, concentration=100%)",15.47,130
00175.jpg,train,"LAB relative redness (median_a=127, red=4.5%, concentration=100%)",4.50,127
00180.jpg,train,"LAB relative redness (median_a=127, red=5.5%, concentration=100%)",5.54,127
00182.jpg,train,"LAB relative redness (median_a=129, red=12.1%, concentration=100%)",12.09,129
00183.jpg,train,"LAB relative redness (median_a=130, red=7.5%, concentration=100%)",7.50,130
00190.jpg,train,"LAB relative redness (median_a=128, red=9.8%, concentration=100%)",9.78,128
00192.jpg,val,"LAB relative redness (median_a=127, red=8.1%, concentration=100%)",8.06,127
00198.jpg,train,"LAB relative redness (median_a=129, red=36.4%, concentration=100%)",36.39,129
00199.jpg,train,"LAB relative redness (median_a=128, red=6.0%, concentration=100%)",6.00,128
00200.jpg,train,"LAB relative redness (median_a=128, red=10.8%, concentration=100%)",10.85,128
00201.jpg,test,"LAB relative redness (median_a=127, red=6.1%, concentration=100%)",6.09,127
00204.jpg,val,"LAB relative redness (median_a=126, red=11.0%, concentration=100%)",11.01,126
00205.jpg,test,"LAB relative redness (median_a=127, red=8.5%, concentration=100%)",8.50,127
00207.jpg,train,"LAB relative redness (median_a=128, red=6.0%, concentration=100%)",5.98,128
00208.jpg,train,"LAB relative redness (median_a=129, red=7.9%, concentration=100%)",7.95,129
00211.jpg,val,"LAB relative redness (median_a=128, red=4.9%, concentration=100%)",4.90,128
00212.jpg,val,"LAB relative redness (median_a=127, red=8.2%, concentration=100%)",8.19,127
00214.jpg,train,"LAB relative redness (median_a=127, red=2.5%, concentration=100%)",2.48,127
00216.jpg,train,"LAB relative redness (median_a=125, red=3.8%, concentration=100%)",3.83,125
00219.jpg,train,"LAB relative redness (median_a=125, red=10.3%, concentration=100%)",10.28,125
00220.jpg,train,"LAB relative redness (median_a=130, red=7.9%, concentration=100%)",7.88,130
00221.jpg,train,"LAB relative redness (median_a=128, red=6.6%, concentration=100%)",6.56,128
00222.jpg,train,"LAB relative redness (median_a=130, red=14.1%, concentration=100%)",14.09,130
00229.jpg,train,"LAB relative redness (median_a=130, red=14.6%, concentration=100%)",14.62,130
00230.jpg,train,"LAB relative redness (median_a=128, red=5.5%, concentration=100%)",5.51,128
00231.jpg,train,"LAB relative redness (median_a=128, red=11.3%, concentration=100%)",11.31,128
00234.jpg,train,"LAB relative redness (median_a=129, red=15.4%, concentration=98%)",15.43,129
00237.jpg,train,"LAB relative redness (median_a=128, red=6.9%, concentration=100%)",6.92,128
00238.jpg,train,"LAB relative redness (median_a=130, red=15.9%, concentration=94%)",15.86,130
00239.jpg,train,"LAB relative redness (median_a=128, red=11.1%, concentration=97%)",11.06,128
00241.jpg,train,"LAB relative redness (median_a=127, red=9.6%, concentration=100%)",9.59,127
00245.jpg,train,"LAB relative redness (median_a=128, red=6.4%, concentration=100%)",6.40,128
00247.jpg,val,"LAB relative redness (median_a=126, red=8.8%, concentration=100%)",8.83,126
00252.jpg,train,"LAB relative redness (median_a=129, red=35.1%, concentration=100%)",35.08,129
00254.jpg,train,"LAB relative redness (median_a=125, red=8.5%, concentration=100%)",8.54,125
00255.jpg,train,"LAB relative redness (median_a=126, red=7.8%, concentration=100%)",7.85,126
00256.jpg,train,"LAB relative redness (median_a=128, red=7.2%, concentration=100%)",7.18,128
00257.jpg,train,"LAB relative redness (median_a=132, red=7.3%, concentration=100%)",7.32,132
00258.jpg,test,"LAB relative redness (median_a=127, red=8.4%, concentration=100%)",8.35,127
00261.jpg,val,"LAB relative redness (median_a=126, red=12.3%, concentration=100%)",12.32,126
00267.jpg,train,"LAB relative redness (median_a=128, red=36.4%, concentration=100%)",36.37,128
00268.jpg,val,"LAB relative redness (median_a=129, red=37.1%, concentration=100%)",37.07,129
00269.jpg,train,"LAB relative redness (median_a=127, red=6.8%, concentration=100%)",6.75,127
00270.jpg,train,"LAB relative redness (median_a=126, red=10.2%, concentration=100%)",10.16,126
00271.jpg,train,"LAB relative redness (median_a=130, red=12.8%, concentration=95%)",12.85,130
00272.jpg,train,"LAB relative redness (median_a=129, red=17.4%, concentration=100%)",17.40,129
00273.jpg,train,"LAB relative redness (median_a=128, red=3.0%, concentration=100%)",2.99,128
00276.jpg,train,"LAB relative redness (median_a=126, red=5.4%, concentration=100%)",5.37,126
00279.jpg,train,"LAB relative redness (median_a=127, red=6.9%, concentration=97%)",6.91,127
00280.jpg,val,"LAB relative redness (median_a=129, red=9.8%, concentration=100%)",9.80,129
00282.jpg,val,"LAB relative redness (median_a=126, red=5.0%, concentration=100%)",4.96,126
00284.jpg,train,"LAB relative redness (median_a=127, red=6.6%, concentration=100%)",6.59,127
00285.jpg,train,"LAB relative redness (median_a=127, red=8.5%, concentration=100%)",8.52,127
00289.jpg,train,"LAB relative redness (median_a=126, red=1.6%, concentration=100%)",1.62,126
00292.jpg,val,"LAB relative redness (median_a=125, red=7.1%, concentration=100%)",7.12,125
00295.jpg,train,"LAB relative redness (median_a=127, red=15.2%, concentration=100%)",15.20,127
00298.jpg,test,"LAB relative redness (median_a=126, red=8.3%, concentration=97%)",8.28,126
00301.jpg,train,"LAB relative redness (median_a=129, red=9.4%, concentration=97%)",9.41,129
00302.jpg,train,"LAB relative redness (median_a=129, red=12.3%, concentration=100%)",12.28,129
00304.jpg,train,"LAB relative redness (median_a=127, red=6.3%, concentration=100%)",6.29,127
00306.jpg,val,"LAB relative redness (median_a=131, red=15.7%, concentration=100%)",15.69,131
00314.jpg,train,"LAB relative redness (median_a=125, red=4.8%, concentration=100%)",4.79,125
00316.jpg,train,"LAB relative redness (median_a=128, red=5.4%, concentration=100%)",5.39,128
00317.jpg,train,"LAB relative redness (median_a=128, red=11.8%, concentration=100%)",11.81,128
00318.jpg,train,"LAB relative redness (median_a=129, red=11.7%, concentration=100%)",11.74,129
00319.jpg,train,"LAB relative redness (median_a=127, red=5.7%, concentration=100%)",5.74,127
00320.jpg,train,"LAB relative redness (median_a=125, red=7.6%, concentration=99%)",7.57,125
00321.jpg,train,"LAB relative redness (median_a=127, red=6.2%, concentration=100%)",6.17,127
00322.jpg,train,"LAB relative redness (median_a=129, red=10.8%, concentration=100%)",10.84,129
00323.jpg,train,"LAB relative redness (median_a=129, red=12.2%, concentration=100%)",12.15,129
00328.jpg,val,"LAB relative redness (median_a=126, red=5.8%, concentration=100%)",5.77,126
00330.jpg,train,"LAB relative redness (median_a=128, red=6.6%, concentration=100%)",6.56,128
00331.jpg,train,"LAB relative redness (median_a=128, red=6.5%, concentration=91%)",6.51,128
00333.jpg,val,"LAB relative redness (median_a=128, red=13.2%, concentration=100%)",13.18,128
00337.jpg,train,"LAB relative redness (median_a=125, red=7.5%, concentration=98%)",7.46,125
00338.jpg,train,"LAB relative redness (median_a=127, red=5.7%, concentration=100%)",5.75,127
00340.jpg,train,"LAB relative redness (median_a=128, red=9.4%, concentration=100%)",9.40,128
00343.jpg,train,"LAB relative redness (median_a=124, red=6.0%, concentration=100%)",5.97,124
00344.jpg,train,"LAB relative redness (median_a=131, red=6.2%, concentration=100%)",6.22,131
00345.jpg,train,"LAB relative redness (median_a=126, red=9.4%, concentration=99%)",9.43,126
00353.jpg,train,"LAB relative redness (median_a=128, red=9.1%, concentration=99%)",9.06,128
00355.jpg,train,"LAB relative redness (median_a=131, red=33.8%, concentration=100%)",33.83,131
00356.jpg,train,"LAB relative redness (median_a=127, red=7.3%, concentration=100%)",7.32,127
00365.jpg,train,"LAB relative redness (median_a=130, red=10.5%, concentration=100%)",10.49,130
00367.jpg,train,"LAB relative redness (median_a=128, red=4.4%, concentration=100%)",4.43,128
00370.jpg,train,"LAB relative redness (median_a=129, red=3.4%, concentration=100%)",3.37,129
00373.jpg,train,"LAB relative redness (median_a=129, red=9.6%, concentration=100%)",9.60,129
00375.jpg,train,"LAB relative redness (median_a=130, red=9.0%, concentration=100%)",9.03,130
00378.jpg,train,"LAB relative redness (median_a=129, red=7.7%, concentration=100%)",7.68,129
00379.jpg,test,"LAB relative redness (median_a=131, red=9.1%, concentration=100%)",9.06,131
00380.jpg,test,"LAB relative redness (median_a=130, red=9.5%, concentration=100%)",9.54,130
00381.jpg,train,"LAB relative redness (median_a=127, red=7.8%, concentration=100%)",7.79,127
00382.jpg,train,"LAB relative redness (median_a=127, red=8.7%, concentration=100%)",8.75,127
00387.jpg,train,"LAB relative redness (median_a=130, red=9.1%, concentration=100%)",9.12,130
00388.jpg,train,"LAB relative redness (median_a=129, red=11.4%, concentration=100%)",11.36,129
00389.jpg,train,"LAB relative redness (median_a=130, red=9.2%, concentration=100%)",9.15,130
00390.jpg,train,"LAB relative redness (median_a=127, red=13.1%, concentration=99%)",13.14,127
00391.jpg,train,"LAB relative redness (median_a=130, red=34.8%, concentration=99%)",34.78,130
00392.jpg,train,"LAB relative redness (median_a=130, red=15.2%, concentration=100%)",15.25,130
00395.jpg,train,"LAB relative redness (median_a=127, red=11.5%, concentration=100%)",11.46,127
00397.jpg,train,"LAB relative redness (median_a=130, red=8.8%, concentration=100%)",8.80,130
00400.jpg,train,"LAB relative redness (median_a=129, red=12.9%, concentration=99%)",12.86,129
00401.jpg,train,"LAB relative redness (median_a=127, red=10.1%, concentration=98%)",10.11,127
00404.jpg,train,"LAB relative redness (median_a=129, red=9.4%, concentration=100%)",9.36,129
00405.jpg,train,"LAB relative redness (median_a=127, red=8.9%, concentration=100%)",8.92,127
00408.jpg,train,"LAB relative redness (median_a=127, red=7.3%, concentration=100%)",7.27,127
00409.jpg,test,"LAB relative redness (median_a=128, red=34.0%, concentration=100%)",34.04,128
00412.jpg,train,"LAB relative redness (median_a=128, red=9.4%, concentration=100%)",9.41,128
00413.jpg,train,"LAB relative redness (median_a=128, red=10.6%, concentration=100%)",10.61,128
00414.jpg,val,"LAB relative redness (median_a=139, red=8.3%, concentration=97%)",8.34,139
00416.jpg,val,"LAB relative redness (median_a=128, red=4.0%, concentration=100%)",4.03,128
00417.jpg,train,"LAB relative redness (median_a=127, red=7.5%, concentration=100%)",7.47,127
00418.jpg,train,"LAB relative redness (median_a=127, red=7.7%, concentration=100%)",7.74,127
00420.jpg,train,"LAB relative redness (median_a=129, red=8.5%, concentration=100%)",8.54,129
00421.jpg,train,"LAB relative redness (median_a=129, red=12.6%, concentration=97%)",12.55,129
00424.jpg,train,"LAB relative redness (median_a=127, red=6.1%, concentration=100%)",6.08,127
00425.jpg,test,"LAB relative redness (median_a=129, red=13.0%, concentration=100%)",13.01,129
00427.jpg,test,"LAB relative redness (median_a=128, red=12.0%, concentration=100%)",11.99,128
00428.jpg,train,"LAB relative redness (median_a=130, red=10.8%, concentration=100%)",10.79,130
00429.jpg,train,"LAB relative redness (median_a=130, red=11.7%, concentration=100%)",11.74,130
00432.jpg,train,"LAB relative redness (median_a=128, red=11.0%, concentration=100%)",10.99,128
00437.jpg,test,"LAB relative redness (median_a=127, red=5.0%, concentration=100%)",5.04,127
00441.jpg,train,"LAB relative redness (median_a=127, red=12.0%, concentration=100%)",11.99,127
00442.jpg,train,"LAB relative redness (median_a=127, red=5.3%, concentration=100%)",5.32,127
00444.jpg,test,"LAB relative redness (median_a=127, red=7.2%, concentration=100%)",7.18,127
00449.jpg,train,"LAB relative redness (median_a=128, red=7.6%, concentration=100%)",7.58,128
00452.jpg,val,"LAB relative redness (median_a=128, red=3.9%, concentration=100%)",3.91,128
00454.jpg,train,"LAB relative redness (median_a=126, red=7.3%, concentration=100%)",7.35,126
00455.jpg,train,"LAB relative redness (median_a=130, red=11.0%, concentration=100%)",10.96,130
00456.jpg,train,"LAB relative redness (median_a=126, red=10.5%, concentration=100%)",10.54,126
00458.jpg,train,"LAB relative redness (median_a=125, red=5.8%, concentration=100%)",5.79,125
00460.jpg,train,"LAB relative redness (median_a=128, red=8.9%, concentration=100%)",8.92,128
00461.jpg,val,"LAB relative redness (median_a=127, red=7.1%, concentration=100%)",7.13,127
00462.jpg,train,"LAB relative redness (median_a=129, red=9.0%, concentration=100%)",9.01,129
00464.jpg,train,"LAB relative redness (median_a=129, red=10.0%, concentration=100%)",10.01,129
00466.jpg,train,"LAB relative redness (median_a=125, red=13.3%, concentration=100%)",13.32,125
00467.jpg,train,"LAB relative redness (median_a=126, red=7.3%, concentration=100%)",7.33,126
00469.jpg,train,"LAB relative redness (median_a=128, red=15.0%, concentration=99%)",14.95,128
00470.jpg,train,"LAB relative redness (median_a=127, red=5.6%, concentration=100%)",5.56,127
00472.jpg,train,"LAB relative redness (median_a=129, red=8.8%, concentration=100%)",8.80,129
00473.jpg,train,"LAB relative redness (median_a=129, red=8.2%, concentration=100%)",8.21,129
00478.jpg,train,"LAB relative redness (median_a=128, red=5.1%, concentration=100%)",5.14,128
00479.jpg,val,"LAB relative redness (median_a=128, red=2.2%, concentration=100%)",2.21,128
00482.jpg,train,"LAB relative redness (median_a=128, red=6.2%, concentration=100%)",6.23,128
00483.jpg,train,"LAB relative redness (median_a=129, red=13.7%, concentration=100%)",13.72,129
00485.jpg,train,"LAB relative redness (median_a=128, red=7.0%, concentration=100%)",6.97,128
00490.jpg,train,"LAB relative redness (median_a=128, red=36.4%, concentration=100%)",36.41,128
00492.jpg,train,"LAB relative redness (median_a=128, red=35.4%, concentration=100%)",35.41,128
00497.jpg,val,"LAB relative redness (median_a=128, red=3.8%, concentration=100%)",3.83,128
00499.jpg,train,"LAB relative redness (median_a=127, red=6.3%, concentration=100%)",6.34,127
00500.jpg,test,"LAB relative redness (median_a=128, red=6.8%, concentration=100%)",6.77,128
00504.jpg,test,"LAB relative redness (median_a=129, red=10.9%, concentration=100%)",10.86,129
00506.jpg,train,"LAB relative redness (median_a=128, red=35.2%, concentration=100%)",35.23,128
00507.jpg,val,"LAB relative redness (median_a=128, red=8.7%, concentration=100%)",8.74,128
00511.jpg,train,"LAB relative redness (median_a=129, red=6.5%, concentration=100%)",6.53,129
00512.jpg,train,"LAB relative redness (median_a=127, red=7.0%, concentration=100%)",6.98,127
00514.jpg,train,"LAB relative redness (median_a=128, red=4.8%, concentration=100%)",4.77,128
00517.jpg,train,"LAB relative redness (median_a=128, red=8.6%, concentration=100%)",8.56,128
00518.jpg,train,"LAB relative redness (median_a=127, red=9.8%, concentration=100%)",9.75,127
00520.jpg,train,"LAB relative redness (median_a=129, red=5.4%, concentration=100%)",5.43,129
00522.jpg,train,"LAB relative redness (median_a=132, red=7.6%, concentration=99%)",7.61,132
00523.jpg,train,"LAB relative redness (median_a=130, red=13.2%, concentration=100%)",13.24,130
00524.jpg,test,"LAB relative redness (median_a=128, red=13.7%, concentration=100%)",13.72,128
00525.jpg,test,"LAB relative redness (median_a=128, red=35.6%, concentration=100%)",35.63,128
00526.jpg,train,"LAB relative redness (median_a=129, red=10.0%, concentration=100%)",10.01,129
00529.jpg,val,"LAB relative redness (median_a=132, red=14.3%, concentration=100%)",14.25,132
00531.jpg,train,"LAB relative redness (median_a=128, red=11.3%, concentration=100%)",11.32,128
00532.jpg,train,"LAB relative redness (median_a=129, red=8.5%, concentration=100%)",8.53,129
00533.jpg,train,"LAB relative redness (median_a=128, red=7.7%, concentration=100%)",7.75,128
00534.jpg,train,"LAB relative redness (median_a=128, red=6.0%, concentration=100%)",5.98,128
00535.jpg,train,"LAB relative redness (median_a=127, red=35.2%, concentration=100%)",35.19,127
00536.jpg,train,"LAB relative redness (median_a=128, red=37.8%, concentration=100%)",37.83,128
00541.jpg,train,"LAB relative redness (median_a=125, red=5.1%, concentration=100%)",5.08,125
00542.jpg,train,"LAB relative redness (median_a=129, red=10.5%, concentration=100%)",10.47,129
00543.jpg,val,"LAB relative redness (median_a=129, red=11.0%, concentration=100%)",11.02,129
00544.jpg,train,"LAB relative redness (median_a=129, red=13.2%, concentration=100%)",13.17,129
00546.jpg,train,"LAB relative redness (median_a=128, red=10.8%, concentration=100%)",10.75,128
00549.jpg,train,"LAB relative redness (median_a=130, red=10.9%, concentration=100%)",10.93,130
00551.jpg,val,"LAB relative redness (median_a=128, red=8.4%, concentration=100%)",8.42,128
00570.jpg,train,"LAB relative redness (median_a=127, red=7.0%, concentration=100%)",7.02,127
00572.jpg,train,"LAB relative redness (median_a=128, red=6.1%, concentration=100%)",6.11,128
00584.jpg,train,"LAB relative redness (median_a=127, red=6.3%, concentration=100%)",6.28,127
00585.jpg,train,"LAB relative redness (median_a=129, red=9.1%, concentration=100%)",9.11,129
00588.jpg,val,"LAB relative redness (median_a=129, red=10.0%, concentration=100%)",9.98,129
00590.jpg,train,"LAB relative redness (median_a=128, red=13.4%, concentration=100%)",13.38,128
00592.jpg,train,"LAB relative redness (median_a=130, red=13.0%, concentration=100%)",12.98,130
00598.jpg,train,"LAB relative redness (median_a=129, red=6.6%, concentration=100%)",6.64,129
00601.jpg,train,"LAB relative redness (median_a=127, red=4.7%, concentration=100%)",4.67,127
00607.jpg,train,"LAB relative redness (median_a=127, red=9.1%, concentration=100%)",9.14,127
00612.jpg,test,"LAB relative redness (median_a=129, red=6.6%, concentration=100%)",6.56,129
00613.jpg,train,"LAB relative redness (median_a=130, red=8.1%, concentration=100%)",8.15,130
00617.jpg,test,"LAB relative redness (median_a=123, red=5.5%, concentration=98%)",5.52,123
00622.jpg,train,"LAB relative redness (median_a=126, red=11.7%, concentration=100%)",11.73,126
00625.jpg,test,"LAB relative redness (median_a=127, red=8.0%, concentration=100%)",8.05,127
00631.jpg,train,"LAB relative redness (median_a=128, red=7.4%, concentration=100%)",7.43,128
